Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Female,349907,8/28/2020,50.4,5317,42.3,50.3
Male,337348,8/28/2020,48.6,7230,57.5,49.7
Unknown,6584,8/28/2020,0.9,22,0.2,0
Female,353037,8/29/2020,50.4,5388,42.3,50.3
Male,340298,8/29/2020,48.6,7335,57.6,49.7
Unknown,6574,8/29/2020,0.9,22,0.2,0
Female,355181,8/30/2020,50.4,5399,42.3,50.3
Male,342297,8/30/2020,48.6,7336,57.5,49.7
Unknown,6607,8/30/2020,0.9,22,0.2,0
Female,357162,8/31/2020,50.5,5409,42.3,50.3
Male,344006,8/31/2020,48.6,7364,57.6,49.7
Unknown,6629,8/31/2020,0.9,22,0.2,0
Female,359315,9/1/2020,50.5,5473,42.3,50.3
Male,346117,9/1/2020,48.6,7456,57.6,49.7
Unknown,6620,9/1/2020,0.9,24,0.2,0
Female,362183,9/2/2020,50.5,5538,42.2,50.3
Male,348495,9/2/2020,48.6,7558,57.6,49.7
Unknown,6499,9/2/2020,0.9,24,0.2,0
Female,364956,9/3/2020,50.5,5616,42.3,50.3
Male,350835,9/3/2020,48.6,7652,57.6,49.7
Unknown,6492,9/3/2020,0.9,24,0.2,0
Female,367462,9/4/2020,50.5,5699,42.3,50.3
Male,353245,9/4/2020,48.6,7746,57.5,49.7
Unknown,6532,9/4/2020,0.9,24,0.2,0
Female,369877,9/5/2020,50.5,5755,42.3,50.3
Male,355719,9/5/2020,48.6,7814,57.5,49.7
Unknown,6548,9/5/2020,0.9,23,0.2,0
Female,371456,9/6/2020,50.5,5760,42.4,50.3
Male,357224,9/6/2020,48.6,7813,57.5,49.7
Unknown,6555,9/6/2020,0.9,23,0.2,0
Female,372728,9/7/2020,50.5,5783,42.4,50.3
Male,358617,9/7/2020,48.6,7841,57.5,49.7
Unknown,6566,9/7/2020,0.9,23,0.2,0
Female,373544,9/8/2020,50.5,5823,42.4,50.3
Male,359429,9/8/2020,48.6,7881,57.4,49.7
Unknown,6554,9/8/2020,0.9,23,0.2,0
Female,375254,9/9/2020,50.5,5875,42.4,50.3
Male,361051,9/9/2020,48.6,7949,57.4,49.7
Unknown,6560,9/9/2020,0.9,23,0.2,0
Female,376954,9/10/2020,50.5,5927,42.4,50.3
Male,362679,9/10/2020,48.6,8012,57.4,49.7
Unknown,6558,9/10/2020,0.9,24,0.2,0
Female,378984,9/11/2020,50.5,5975,42.4,50.3
Male,364731,9/11/2020,48.6,8083,57.4,49.7
Unknown,6583,9/11/2020,0.9,24,0.2,0
Female,381278,9/12/2020,50.5,6031,42.4,50.3
Male,367162,9/12/2020,48.6,8154,57.4,49.7
Unknown,6483,9/12/2020,0.9,25,0.2,0
Female,382809,9/13/2020,50.5,6030,42.4,50.3
Male,368459,9/13/2020,48.6,8156,57.4,49.7
Unknown,6510,9/13/2020,0.9,25,0.2,0
Female,383892,9/14/2020,50.5,6055,42.5,50.3
Male,369597,9/14/2020,48.6,8180,57.4,49.7
Unknown,6524,9/14/2020,0.9,25,0.2,0
Female,385393,9/15/2020,50.5,6132,42.6,50.3
Male,371046,9/15/2020,48.6,8254,57.3,49.7
Unknown,6524,9/15/2020,0.9,25,0.2,0
Female,386895,9/16/2020,50.5,6176,42.5,50.3
Male,372752,9/16/2020,48.6,8315,57.3,49.7
Unknown,6554,9/16/2020,0.9,26,0.2,0
Female,388633,9/17/2020,50.5,6224,42.6,50.3
Male,374646,9/17/2020,48.7,8377,57.3,49.7
Unknown,6552,9/17/2020,0.9,26,0.2,0
Female,390834,9/18/2020,50.5,6277,42.5,50.3
Male,376730,9/18/2020,48.7,8457,57.3,49.7
Unknown,6571,9/18/2020,0.8,28,0.2,0
Female,392944,9/19/2020,50.5,6320,42.6,50.3
Male,378892,9/19/2020,48.7,8500,57.2,49.7
Unknown,6564,9/19/2020,0.8,28,0.2,0
Female,394632,9/20/2020,50.5,6329,42.6,50.3
Male,380480,9/20/2020,48.7,8516,57.3,49.7
Unknown,6582,9/20/2020,0.8,28,0.2,0
Female,395828,9/21/2020,50.5,6346,42.6,50.3
Male,381901,9/21/2020,48.7,8526,57.2,49.7
Unknown,6595,9/21/2020,0.8,28,0.2,0
Female,397436,9/22/2020,50.5,6397,42.5,50.3
Male,383438,9/22/2020,48.7,8611,57.3,49.7
Unknown,6596,9/22/2020,0.8,30,0.2,0
Female,399084,9/23/2020,50.5,6450,42.6,50.3
Male,384959,9/23/2020,48.7,8674,57.2,49.7
Unknown,6597,9/23/2020,0.8,30,0.2,0
Female,400779,9/24/2020,50.5,6500,42.6,50.3
